Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Activity,Observation Status,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),120,Cameroon,ISIC4_C,A,G,KG_PER_CON_USD,0.075,0.07,0.071,0.067,0.074,0.058,0.068,0.083,0.09,0.107,0.1,0.096,0.095,0.094,0.098,0.048,0.048,0.047,0.047,0.047,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),124,Canada,ISIC4_C,A,G,KG_PER_CON_USD,0.378,0.36,0.353,0.35,0.361,0.341,0.327,0.343,0.341,0.347,0.355,0.368,0.368,0.361,0.348,0.335,0.367,0.358,0.344,0.342,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),29,Caribbean,ISIC4_C,A,G,KG_PER_CON_USD,0.736,0.807,0.653,0.546,0.459,0.513,0.551,0.571,0.49,0.47,0.532,0.47,0.475,0.494,0.395,0.423,0.365,0.381,0.367,0.409,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),135,Caucasus and Central Asia,ISIC4_C,A,G,KG_PER_CON_USD,1.87,1.99,1.699,1.748,1.903,1.881,1.434,1.673,2.158,1.719,1.713,1.783,1.548,1.619,1.148,0.897,0.822,0.888,0.805,0.761,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),13,Central America,ISIC4_C,A,G,KG_PER_CON_USD,0.29,0.271,0.292,0.3,0.315,0.331,0.354,0.334,0.342,0.308,0.338,0.359,0.32,0.334,0.291,0.312,0.29,0.307,0.251,0.252,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),62,Central and Southern Asia,ISIC4_C,A,G,KG_PER_CON_USD,1.611,1.577,1.551,1.472,1.455,1.466,1.362,1.469,1.5,1.47,1.497,1.561,1.464,1.508,1.45,1.335,1.287,1.307,1.241,1.274,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),143,Central Asia,ISIC4_C,A,G,KG_PER_CON_USD,1.864,2.034,1.708,1.811,2.013,2.014,1.515,1.769,2.284,1.807,1.828,1.891,1.627,1.702,1.189,0.911,0.824,0.916,0.837,0.783,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),152,Chile,ISIC4_C,A,G,KG_PER_CON_USD,0.307,0.353,0.296,0.329,0.297,0.271,0.301,0.28,0.279,0.246,0.242,0.254,0.216,0.252,0.277,0.258,0.261,0.219,0.197,0.21,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),156,China,ISIC4_C,A,G,KG_PER_CON_USD,1.208,1.181,1.12,1.155,1.382,1.638,1.554,1.457,1.414,1.354,1.33,1.271,1.173,1.092,1.002,0.911,0.819,0.731,0.708,0.678,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),344,"China, Hong Kong Special Administrative Region",ISIC4_C,A,G,KG_PER_CON_USD,0.832,0.804,0.69,0.763,0.478,0.458,0.456,0.564,0.69,0.618,0.539,0.512,0.502,0.522,0.521,0.612,0.659,0.741,0.7,0.717,,,,,,,,,,,,,,,,,,,,,
