metric_key,economic_category,cou_metric_key,year,GDP,GDP_15,GDP_PC,GDP_PC_PPP,GDP_PC_PPP_17,GDP_PEMP,GDP_PPP,MFG_VA,ELC_POP,ELC_RUR_POP,CO2GDP,AtmCO2
developed-2015,Developed,australia-2015,2015,1350534154255.76,1350534154255.76,56707.0220772116,46248.6164566389,47569.2946015026,96035.429491974,1101456818288.23,6.29999747413608,100.0,100.0,0.328,0.373
developed-2016,Developed,australia-2016,2016,1206685107002.47,1387560980285.63,57358.7827974217,47255.3070085957,48116.0310826944,97059.7271143626,1143148737101.39,6.08549932920885,100.0,100.0,0.326,0.375
developed-2017,Developed,australia-2017,2017,1326882872011.46,1419418366737.24,57695.5712591341,48398.5497014956,48398.5497014956,97191.9771432668,1190694343959.24,5.79873746244275,100.0,100.0,0.323,0.363
developed-2018,Developed,australia-2018,2018,1428529571351.06,1460169477425.41,58447.2526505317,50169.1872936523,49029.1057110348,97619.6112647916,1253361153370.88,5.77727182456784,100.0,100.0,0.311,0.393
developed-2019,Developed,australia-2019,2019,1391952510370.48,1491025040336.15,58781.0466570626,51748.3977215322,49309.1123989414,97659.6254535974,1312636660762.97,5.61511806427613,100.0,100.0,0.304,0.391
developed-2000,Developed,austria-2000,2000,197289625479.906,311192381028.414,38842.8905195831,29376.0197364753,46469.8610601036,99847.0924295559,235347920936.075,18.2149670740326,100.0,100.0,0.166,0.207
developed-2001,Developed,austria-2001,2001,197508773215.323,315135711888.113,39184.8085972636,29702.7975286074,46878.9162398602,100548.778597243,238878600644.736,18.3410929949555,100.0,100.0,0.176,0.197
developed-2002,Developed,austria-2002,2002,214394866675.24,320340348097.004,39636.4826114521,31178.6933297272,47419.2784117541,101167.598934797,251984858807.042,17.7267828085994,100.0,100.0,0.177,0.196
developed-2003,Developed,austria-2003,2003,262273631180.054,323356259321.687,39815.2219533064,32144.2418052358,47633.1140009916,101079.852603269,261056984714.604,17.4531746104997,100.0,100.0,0.188,0.203
developed-2004,Developed,austria-2004,2004,301457562038.541,332200441760.824,40651.2266155811,33773.825776679,48633.2718157639,107606.76452196,275998555936.944,17.3364603484259,100.0,100.0,0.186,0.203
developed-2005,Developed,austria-2005,2005,316092273276.015,339655236682.676,41281.2707559522,35013.7140443423,49387.0278641202,106353.837180398,288086851811.747,17.4078184700008,100.0,100.0,0.183,0.183
developed-2013,Developed,austria-2013,2013,430190979705.962,375650886015.0,44299.3781845446,47922.0491207455,52997.7538166712,107169.710280312,406370494341.228,16.4957293719062,100.0,100.0,0.143,0.152
developed-2014,Developed,austria-2014,2014,442584815286.034,378134963330.691,44245.1687398338,48799.7154676985,52932.9001116518,107674.31572691,417059741085.658,16.5600152509678,100.0,100.0,0.134,0.146
developed-2015,Developed,austria-2015,2015,381971148530.543,381971148530.543,44195.8175947748,49865.9039424185,52873.8586545571,107546.454902852,430975998137.236,16.6900364578037,100.0,100.0,0.135,0.147
developed-2016,Developed,austria-2016,2016,395837353031.499,389570224508.691,44590.2516278164,52684.0171130768,53345.7415259818,108034.41534321,460282766423.271,17.047414633819,100.0,100.0,0.133,0.146
developed-2017,Developed,austria-2017,2017,417261151844.977,398368950204.699,45281.723399938,54172.9867888254,54172.9867888254,109175.740207791,476590426691.819,16.8427076676864,100.0,100.0,0.135,0.138
developed-2018,Developed,austria-2018,2018,455168151938.941,408334528417.519,46188.9665119872,56960.0914258929,55258.37103291,110417.684255332,503556884412.526,16.8284845817184,100.0,100.0,0.125,0.129
developed-2019,Developed,austria-2019,2019,445011872704.47,414423657207.687,46669.7512148406,58076.348801448,55833.559903835,111248.30625102,515713331248.954,16.5435327871752,100.0,100.0,0.127,0.129
developing-2000,Developing,bangladesh-2000,2000,53369787318.6245,83463813143.96,653.80864003472,1331.54842861048,1937.72919211467,5419.39427647179,169982625545.874,14.035315753916,32.0,16.8105220794678,0.085,0.407
